Vendor,Name (link),Link,Description,Price (Digikey With VAT),Price (Local),Price (LCSC),Price(Other),Notes
digikey,XLG-150-H-AB,https://www.digikey.co.uk/en/products/detail/mean-well-usa-inc/XLG-150-H-AB/10222586,150W 27-56V led driver,£31.04,,x,,
LCSC,IRM-10-5,https://lcsc.com/product-detail/Power-Module-Power-Supply_MW-MEAN-WELL-Enterprises-IRM-10-5_C2857903.html?s_z=n_IRM-10-5,10W 5V psu,x 6.38,,$4.32,,
digikey,SPU03L-12,https://www.digikey.co.uk/en/products/detail/mean-well-usa-inc/SPU03L-12/7707058,3W 5v to 12v conerter,£4.51,,,,
digikey,L2C5-40801825G3200,https://www.digikey.co.uk/en/products/detail/lumileds/L2C5-40801825G3200/7344822,51.7V ~116W LED,£34.15,,x,,
digikey,K104K15X7RF5TL2,https://www.digikey.co.uk/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538,0.1uF tht capacitor,£0.22,,,,
digikey,"""885012210006""",https://www.digikey.co.uk/en/products/detail/w%C3%BCrth-elektronik/885012210006/5453247,10nF smt capacitor,£0.46,,,,
digikey,PTA6043-2010CIB502,https://www.digikey.co.uk/en/products/detail/bourns-inc/PTA6043-2010CIB502/3781226,5K slide potentiometer,£1.70,,x?,,
LCSC,ETA-G-K-24-200cm,https://lcsc.com/product-detail/Electronic-testing-accessories_ETA-ETA-G-K-24-200cm_C5144202.html?s_z=n_ETA-G-K-24,2m K-type thermocouple bare wires ,,,$4.56,,
LCSC,MAX31855KASA+T,https://lcsc.com/product-detail/ADCs-DACs-Special-Purpose_Analog-Devices-Inc-Maxim-Integrated-MAX31855KASA-T_C52028.html,MAX31855 thermocouple amplifier chip,x 8.28,,$2.33,,
digikey,Wuerth elektronik screw pin terminal,https://www.digikey.co.uk/en/products/detail/w%C3%BCrth-elektronik/691137710002/6644051,Screwy terminal block for 2 pins for thermocouple,£0.32,,,,
digikey,xiao rp2040,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/102010428/14672129,xiao rp2040 microcontroller,£4.15,,x,,
digikey,PC817X2NSZ9F,https://www.digikey.co.uk/en/products/detail/sharp-socle-technology/PC817X2NSZ9F/7942022,pc817 optocoupler/optoisolator,£0.24,,x $0.38=£0.28,,"(LCSC minimum order quantity is 5, for just one it would be $0.07 but alas)"
,,,40 ohm resistor for led,(I have already),,,£0.05,(estimate price)
,,,Red led,(I have already),,,~5p if you buy?,
,,,80-100 ohm resistor for optocoupler,(will get locally),,,£0.05,(estimate price)
,,,3x cherry style keyboard switches and keycaps,(I have already),,,~5p if you buy?,
,,,2.5A fuse - possibly 5x20mm,(will get locally),,,£0.10,(estimate price)
,,,SG90 servo motor,(I have already),,,,
LCSC,DAC-13F,https://lcsc.com/product-detail/AC-Power-Connectors_Legion-RT-C14B-H1-SS11-1BB_C22379821.html?s_z=n_c14%2520input,iec panel mount input with fuse integrated,x 1.45,,$1.46,,LCSC one has a switch too!
digikey,xiao pin headers,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/102010490/19176770,"7 pin headers for xiao rp2040, as well as for the servo",£0.22,(might get locally),,,
digikey,molex 47053-1000,https://www.digikey.co.uk/en/products/detail/molex/0470531000/2421261?s=N4IgTCBcDaICwHYAMBWAzAWgIxNyAugDQgpSgAOUWx5lkOSAvo0A,4 pin fan header,£0.43,,x,,
digikey,ATS-HP-F9L200S70W-014,https://www.digikey.co.uk/en/products/detail/advanced-thermal-solutions-inc/ATS-HP-F9L200S70W-014/5049697?s=N4IgjCBcoOw1oDGUBmBDANgZwKYBoQB7KAbRACYYwA2SkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwATgDMCEMkjps%2BIqQrkALBOoNmbSJx4DhIk0A,200mm long 10.5mm wide ~60W heat pipe - 3 OF THEM,£12.90,,,,
amazon,1kg sunlu black petg filament,https://www.amazon.co.uk/SUNLU-Filament-Tangle-Free-Dimensional-Accuracy/dp/B07TJDTJZD,"1kg black PETG sunlu filament, for more heat resistance",,,,£8.75,"(i'm splitting the cost with a friend so i only get 1kg and pay £8.75 for it, normally it would be about £12)"
fb marketplace,Cooler master hyper 212 evo,(no link for privacy but i promise it exists and is £10),heatsink with fan,,,,£10.00,
amazon,10g Silicone EC360 Thermal Glue,https://www.amazon.co.uk/EC360%C2%AE-Glue-Thermal-Adhesive-Liquid/dp/B00XQ9AZ8Y,Thermally conductive adhesive for attaching heat pipes,,,,£5.99,
,,,50x85mm 3mm mdf,,,,free,
,,,about 40 m4 bolts and nuts (12mm long mostly but some might be longer),,,,£6,(estimate price)
,,,2 m10 bolts and nuts,,,,£6.00,
,,,about 400x200mm of thick plywood,,,,free,
JLCPCB,,,The pcb!!!,,,,£12.00,
,,,,,,,,
,,,,,,,,
,,,,,,$12.45,,Just parts cost
shipping stuff,,,,,,$10.40,,Shipping cost
Total,,,,£90.34,,$22.85=£16.73,£48.94,£156.01
,,,,,,cheaper!,,
Total total,(manual value input),,,,,,,$209.51
